[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:77 - -------UsingFileAction---------
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:85 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:86 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:85 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:86 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:33 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:36 - Column size: 4, Row size: 4
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=581, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=581, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=156, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=156, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=812, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=812, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=542, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=542, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=113, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=113, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=755, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=755, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=636, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=636, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=442, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=442, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=987, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=987, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=292, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=292, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=708, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=708, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=324, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=324, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=326, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=326, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=385, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=385, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=822, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=822, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:43 - Expected: Cell [value=987, changable=true]
[DEBUG] 2019-06-14 22:18:28 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=987, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:77 - -------UsingFileAction---------
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:85 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:86 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:85 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:86 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:20:18 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:79 - -------UsingFileAction---------
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:85 - i: 0
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:86 - j: 0
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:89 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:90 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:85 - i: 0
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:86 - j: 1
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:89 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:90 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:21:21 [main] DataToCubeMatrixConverterTest:85 - i: 0
