[DEBUG] 2019-06-14 00:15:21 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:15:21 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:15:21 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:15:21 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:15:21 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:83 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:84 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:83 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:84 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:83 - Expected cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:15:44 [main] DataToCubeMatrixConverterTest:84 - Cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:82 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:83 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:82 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:83 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:82 - Expected cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:83 - Cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:82 - Expected cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:83 - Cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:65 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:66 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:65 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:66 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:65 - Expected cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:66 - Cell: Cell [value=4, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:65 - Expected cell: Cell [value=2, changable=true]
[DEBUG] 2019-06-14 00:16:10 [main] DataToCubeMatrixConverterTest:66 - Cell: Cell [value=2, changable=true]
